174     | 154.53.224.166   | 154.48.0.0/12       | US | arin     |            | COGENT-174 - Cogent Communications, US
13335   | 2400:cb00:2048:1::6814:1d30              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6814:2b86              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6814:382b              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6814:3fcb              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6814:4b6a              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6819:1415              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6819:1763              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6819:1c65              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::6819:b424              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13335   | 2400:cb00:2048:1::681f:4d18              | 2400:cb00:2048::/48 | US | apnic    | 2011-05-13 | CLOUDFLARENET - CloudFlare, Inc., US
13414   | 199.59.149.198   | 199.59.148.0/22     | US | arin     | 2010-11-23 | TWITTER - Twitter Inc., US
13414   | 199.59.150.44    | 199.59.148.0/22     | US | arin     | 2010-11-23 | TWITTER - Twitter Inc., US
13768   | 66.155.40.250    | 66.155.40.0/21      | US | arin     | 2001-07-27 | PEER1 - Peer 1 Network (USA) Inc., US
14340   | 96.43.144.26     | 96.43.144.0/22      | US | arin     | 2010-08-23 | SALESFORCE - Salesforce.com, Inc., US
14340   | 96.43.145.26     | 96.43.144.0/22      | US | arin     | 2010-08-23 | SALESFORCE - Salesforce.com, Inc., US
14413   | 108.174.10.19    | 108.174.10.0/24     | US | arin     | 2012-01-11 | LINKEDIN - LinkedIn Corporation, US
14413   | 2620:109:c002::6cae:a0a                  | 2620:109:c002::/48  | US | arin     | 2012-01-12 | LINKEDIN - LinkedIn Corporation, US
14618   | 23.21.74.232     | 23.20.0.0/15        | US | arin     | 2011-09-19 | AMAZON-AES - Amazon.com, Inc., US
14618   | 52.6.153.70      | 52.4.0.0/14         | US | arin     |            | AMAZON-AES - Amazon.com, Inc., US
14618   | 54.197.239.144   | 54.196.0.0/15       | US | arin     | 2013-06-19 | AMAZON-AES - Amazon.com, Inc., US
14618   | 54.243.250.13    | 54.242.0.0/15       | US | arin     | 2011-12-09 | AMAZON-AES - Amazon.com, Inc., US
14907   | 2620:0:863:ed1a::1                       | 2620:0:863::/48     | US | arin     | 2007-10-02 | WIKIMEDIA - Wikimedia Foundation Inc., US
15133   | 192.229.162.211  | 192.229.162.0/24    | US | arin     | 2013-02-07 | EDGECAST - EdgeCast Networks, Inc., US
15133   | 192.229.163.158  | 192.229.163.0/24    | US | arin     | 2013-02-07 | EDGECAST - EdgeCast Networks, Inc., US
15133   | 72.21.91.127     | 72.21.91.0/24       | US | arin     | 2007-04-23 | EDGECAST - EdgeCast Networks, Inc., US
15133   | 72.21.91.8       | 72.21.91.0/24       | US | arin     | 2007-04-23 | EDGECAST - EdgeCast Networks, Inc., US
15133   | 72.21.92.82      | 72.21.92.0/24       | US | arin     | 2007-04-23 | EDGECAST - EdgeCast Networks, Inc., US
